都道府県,総人口,総人口(男),総人口(女),日本人口,外国人人口,総面積,可住地面積,県内総生産額,県民取得,民営事業所数,民間事業所従業員数,小学校数,中学校数,高等学校数,小学校教員数,中学校教員数,高等学校教員数,公民館数,図書館数,ＮＰＯ法人認証数,総住宅数,空き家数,コンビニ数,飲食店数,公衆浴場数,一般病院数,薬局数,世帯主の配偶者の収入,消費支出,住居費,光熱・水道費,教育費,大都市圏分類
北海道,5250000,2472000,2778000,5211000,21676,83456.87,22699.23,194301,142696,224718,2165925,999,586,276,19071,11576,10158,381,152,2161,2807200,379800,2194,26585,256,484,2333,73207,334015,27305,27309,9394,1
青森県,1246000,585000,661000,1240000,3447,9644.54,3253.19,44432,31833,58116,498988,269,159,77,4536,3001,2953,246,35,410,592400,88700,404,6744,287,77,619,83166,278356,18537,27837,3841,0
岩手県,1227000,592000,635000,1219000,5017,15278.89,3751.37,46512,34779,58415,525264,304,155,79,4759,2868,2921,176,47,484,579300,93500,398,5668,18,76,605,113215,293157,24850,27129,6573,0
宮城県,2306000,1127000,1179000,2283000,13989,7285.76,3185.91,94639,68388,97974,1006886,381,207,95,7881,4875,4536,439,35,820,1089300,130500,777,9560,7,112,1165,51130,285393,24121,22717,6955,1
秋田県,966000,454000,512000,963000,2914,11636.25,3233.34,35630,26876,48769,413719,191,112,54,3193,2185,2047,342,48,347,445700,60800,309,4704,13,52,521,102944,300312,14661,25743,4394,0
山形県,1078000,520000,558000,1070000,5503,9323.46,2873.29,42670,32206,55778,475435,244,97,61,3921,2311,2462,430,40,435,449000,54200,344,5493,1,54,595,121251,330042,16066,29590,8545,0
福島県,1846000,914000,931000,1831000,8725,13782.76,4230.73,80637,55926,85960,806130,428,227,110,6761,4244,3986,374,68,917,861300,123500,478,8013,10,103,885,114472,290050,17053,25553,4019,0
茨城県,2860000,1427000,1433000,2810000,41310,6095.72,3888.84,138084,95623,115007,1233534,476,228,121,9664,5884,5644,252,64,861,1328900,197200,899,11116,2,153,1294,90255,308563,15978,22431,6529,0
栃木県,1934000,964000,970000,1906000,26494,6408.28,3005.06,91513,66792,86088,878756,350,163,75,6930,4095,3584,188,55,632,926700,160700,608,8797,8,88,909,69361,308051,15581,22034,9706,0
群馬県,1942000,962000,981000,1886000,37126,6362.33,2269.02,89704,65157,90231,900921,309,168,79,6832,4059,3664,222,57,806,949000,158300,606,8585,18,117,914,99575,331409,11422,20367,8812,0
埼玉県,7350000,3668000,3682000,7174000,105203,3798.13,2603.09,234311,224157,240542,2575544,814,448,193,20810,12511,11091,489,172,2144,3384700,346200,1670,24368,45,295,2952,124720,369498,16200,21742,23246,1
